iter	Passed	Remaining
0	29	4622
1	52	4084
2	72	3732
3	93	3565
4	114	3470
5	137	3469
6	161	3450
7	190	3544
8	212	3499
9	234	3442
10	256	3398
11	276	3342
12	295	3278
13	321	3284
14	344	3260
15	364	3216
16	389	3203
17	413	3192
18	432	3141
19	451	3095
20	470	3049
21	491	3015
22	513	2992
23	533	2958
24	560	2958
25	581	2930
26	601	2895
27	620	2859
28	640	2827
29	660	2794
30	682	2773
31	703	2747
32	723	2717
33	742	2686
34	762	2656
35	783	2632
36	803	2604
37	822	2577
