,Value,Feature
266,0.0,f14 f20
267,0.0,f14 f23
268,0.0,f14 f24
269,0.0,f14 f26
270,0.0,f14 f27
271,0.0,f14 f29
272,0.0,f14 f30
273,0.0,f14 f31
274,0.0,f14 f33
275,0.0,f14 f34
276,0.0,f14 f36
277,0.0,f14 f41
278,0.0,f14 f43
279,0.0,f14 f45
280,0.0,f14 f49
281,0.0,f14 f50
282,0.0,f14 f53
283,0.0,f14 f55
284,0.0,f14 f56
285,0.0,f14 f63
286,0.0,f14 f65
287,0.0,f14 f67
288,0.0,f14 f69
289,0.0,f14 f70
290,0.0,f14 f71
291,0.0,f14 f73
292,0.0,f14 f75
293,0.0,f14 f78
294,0.0,f14 f79
295,0.0,f14 f81
296,0.0,f14 f82
297,0.0,f14 f84
298,0.0,f14 f88
299,0.0,f14 f95
300,0.0,f15 f19
301,0.0,f15 f20
302,0.0,f15 f21
303,0.0,f15 f24
304,0.0,f15 f26
305,0.0,f15 f30
306,0.0,f15 f31
307,0.0,f15 f32
308,0.0,f15 f33
309,0.0,f15 f34
310,0.0,f15 f35
311,0.0,f15 f38
312,0.0,f15 f40
313,0.0,f15 f41
314,0.0,f15 f42
315,0.0,f15 f44
316,0.0,f15 f46
317,0.0,f15 f47
318,0.0,f15 f48
319,0.0,f15 f53
320,0.0,f15 f54
321,0.0,f15 f55
322,0.0,f15 f56
323,0.0,f15 f57
324,0.0,f15 f58
325,0.0,f15 f59
326,0.0,f15 f60
327,0.0,f15 f62
328,0.0,f15 f63
329,0.0,f15 f64
330,0.0,f15 f65
331,0.0,f15 f66
332,0.0,f15 f72
333,0.0,f15 f73
334,0.0,f15 f78
335,0.0,f15 f80
336,0.0,f15 f82
337,0.0,f15 f83
338,0.0,f15 f85
339,0.0,f15 f86
340,0.0,f15 f87
341,0.0,f15 f88
342,0.0,f15 f92
343,0.0,f15 f96
344,0.0,f15 f99
345,0.0,f16 f19
346,0.0,f16 f20
347,0.0,f16 f21
348,0.0,f16 f22
349,0.0,f16 f24
350,0.0,f16 f25
351,0.0,f16 f29
352,0.0,f16 f30
353,0.0,f16 f31
354,0.0,f16 f32
355,0.0,f16 f34
356,0.0,f16 f36
357,0.0,f16 f37
358,0.0,f16 f38
359,0.0,f16 f39
360,0.0,f16 f40
361,0.0,f16 f41
362,0.0,f16 f42
363,0.0,f16 f44
364,0.0,f16 f46
365,0.0,f16 f47
366,0.0,f16 f49
367,0.0,f16 f51
368,0.0,f16 f53
369,0.0,f16 f54
370,0.0,f16 f55
371,0.0,f16 f58
372,0.0,f16 f62
373,0.0,f16 f63
374,0.0,f16 f64
375,0.0,f16 f65
376,0.0,f16 f67
377,0.0,f16 f71
378,0.0,f16 f72
379,0.0,f16 f73
380,0.0,f16 f74
381,0.0,f16 f78
382,0.0,f16 f79
383,0.0,f16 f86
384,0.0,f16 f87
385,0.0,f16 f88
386,0.0,f16 f89
387,0.0,f16 f90
388,0.0,f16 f91
389,0.0,f16 f93
390,0.0,f16 f94
391,0.0,f16 f95
392,0.0,f16 f96
393,0.0,f16 f98
394,0.0,f16 f99
395,0.0,f17 f21
396,0.0,f17 f23
397,0.0,f17 f25
398,0.0,f17 f26
399,0.0,f17 f28
400,0.0,f17 f29
401,0.0,f17 f30
402,0.0,f17 f31
403,0.0,f17 f33
404,0.0,f17 f34
405,0.0,f17 f35
406,0.0,f17 f36
407,0.0,f17 f38
408,0.0,f17 f40
409,0.0,f17 f41
410,0.0,f17 f42
411,0.0,f17 f43
412,0.0,f17 f44
413,0.0,f17 f49
414,0.0,f17 f51
415,0.0,f17 f54
416,0.0,f17 f55
417,0.0,f17 f58
418,0.0,f17 f62
419,0.0,f17 f65
420,0.0,f17 f66
421,0.0,f17 f67
422,0.0,f17 f73
423,0.0,f17 f78
424,0.0,f17 f82
425,0.0,f17 f84
426,0.0,f17 f90
427,0.0,f17 f93
428,0.0,f17 f94
429,0.0,f17^2
430,0.0,f18 f20
431,0.0,f18 f21
432,0.0,f18 f23
433,0.0,f18 f25
434,0.0,f18 f26
435,0.0,f18 f27
436,0.0,f18 f28
437,0.0,f18 f29
438,0.0,f18 f30
439,0.0,f18 f33
440,0.0,f18 f34
441,0.0,f18 f36
442,0.0,f18 f37
443,0.0,f18 f40
444,0.0,f18 f42
445,0.0,f18 f44
446,0.0,f18 f46
447,0.0,f18 f49
448,0.0,f18 f50
449,0.0,f18 f51
450,0.0,f18 f52
451,0.0,f18 f53
452,0.0,f18 f57
453,0.0,f18 f58
454,0.0,f18 f60
455,0.0,f18 f62
456,0.0,f18 f64
457,0.0,f18 f67
458,0.0,f18 f68
459,0.0,f18 f73
460,0.0,f18 f74
461,0.0,f18 f75
462,0.0,f18 f76
463,0.0,f18 f79
464,0.0,f18 f80
465,0.0,f18 f81
466,0.0,f18 f82
467,0.0,f18 f84
468,0.0,f18 f85
469,0.0,f18 f88
470,0.0,f18 f89
471,0.0,f18 f90
472,0.0,f18 f91
473,0.0,f18 f92
474,0.0,f18 f93
475,0.0,f18 f97
476,0.0,f18 f98
477,0.0,f18 f99
478,0.0,f19 f20
479,0.0,f19 f21
480,0.0,f19 f23
481,0.0,f19 f24
482,0.0,f19 f26
483,0.0,f19 f29
484,0.0,f19 f30
485,0.0,f19 f31
486,0.0,f19 f32
487,0.0,f19 f33
488,0.0,f19 f34
489,0.0,f19 f35
490,0.0,f19 f36
491,0.0,f19 f38
492,0.0,f19 f39
493,0.0,f19 f41
494,0.0,f19 f42
495,0.0,f19 f43
496,0.0,f19 f46
497,0.0,f19 f47
498,0.0,f19 f50
499,0.0,f19 f51
500,0.0,f19 f52
501,0.0,f19 f53
502,0.0,f19 f55
503,0.0,f19 f59
504,0.0,f19 f60
505,0.0,f19 f61
506,0.0,f19 f62
